label,content
1,항공사로 사전좌석지정 위해 전화해서 하나투어 예약번호 말하면 되나요?
1,여권에 이름은 띄어쓰기가 되어 있는데 괜찮나요?
1,여권번호 & 만료기간 수정 및 등록 올바르게 하였는지 확인해주세요?
1,[요금규정][기타] 유류할증료(Fuel Surcharge)가 무엇인가요?
1,현지 연락처는 무엇을 기재하면 되나요?
1,임신 8개월인데 제주도 갈 수 있나요?
1,호텔비용 외에 현지에서 부과되는  추가 비용이 있나요?
1,유류할증료가 무엇인가요?
1,태블릿과 휴대폰을 연결하여 사용하시려고 하시나요?
1,안전결제(ISP)/안심클릭 서비스 신청은 어떻게 하나요?
1,국내선 항공 예약시 할인석과 일반석의 차이점이 뭔가요?
1,G7 상태 표시줄에 배터리 퍼센트 표시가 보이지 않아요.
1,여행시 여권을 잃어버리면 어떻게 해야하나요 ?
1,[냉방] 에어컨에 토출구에서 흰 연기가 나와요. 이슬이 맺혀요.
1,[귀국일변경] 귀국일변경 관련 문의 답변
1,임산부일 경우 비행기 탑승에 제한이 있나요?
1,LG 캠 플러스 충전은 어떻게 하나요?
1,(냉방) 실외기에서 물이 떨어져요.
1,학생요금의 적용 기준은 무엇이고 나이 제한이 따로 있나요?
1,귀국일변경 가능한가요?
1,LG 360 VR을 사용해서 유투브 VR 컨텐츠 재생이 안돼요.
1,에어컨의 토출구가 올라가지 않아요. 날개가 열리지 않아요.
1,경유지 및 도착지 비자관련은 어떻게 확인하나요?
1,상품을 직접 방문하여 수령할 수는 없나요?
1,에어컨이 꺼져 있는데 실외기가 돌아가요. 사용하지 않는데 물이 떨어져요.
1,[요금규정][기타] TAX 요금이 달라지는 이유는 무엇인가요?
1,보험계약을 철회하고 싶습니다.(청약철회)
1,E-Ticket이 무엇인가요?
1,배송중인 상품의 위치는 어떻게 확인하나요?
1,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
1,홈페이지를 통해 아파트 담보대출(스마트 모기지론)을 신청하려면 회원가입조건은?
1,Wi-Fi 연결은 어떻게 하나요?
1,고객사랑서비스 대상자에 선정되어 SMS로 서비스신청번호를 받았는데 분실했습니다. 어떻게 신청할 수 있습니까?
1,TW(티웨이 항공) 항공권 변경/취소 수수료 변경에 대해 알고 싶어요.
1,LG 캠 플러스는 다운받은 카메라 앱에서 사용할 수 있나요?
1,해외 체류자 보험가입 절차 입니다.
1,에어컨이 꺼져 있는데 실외기가 돌아가요. 사용하지 않는데 물이 떨어져요.
1,카드 할인 요금은 어떻게 적용받나요?
1,배송중인 상품의 위치는 어떻게 확인하나요?
1,찬바람만 나와요. 난방 선택이 안돼요.
1,[유럽]기차 여행이 왜 좋은가요?
1,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
1,[일본][규슈] 산큐패스의 구입 자격조건은 어떠한가요?
1,유로스타 등 초고속 열차는 사전에 미리 구매해야 하나요?
1,G7의 화면 밝기를 100%보다 더 밝게 설정하고 싶어요.
1,롯데닷컴 배송흐름은 어떻게 되나요?
1,트윈에는 2인의 조식이 모두 포함인가요?
1,비자 대행해 줄 때 수수료를 지불해야 하나요?
1,변액보험의 경우 예금자보호법의 보호를 받을 수 있나요?
1,신탁상품의 운용내역을 확인하려면 어떻게 해야합니까?
1,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
1,(냉방) 실외기에서 물이 떨어져요.
1,홈페이지를 통한 신용대출 신청절차를 알고 싶습니다.
1,웹상으론 좌석이 보이는데 예약완료후 대기예약으로 뜨네요?
1,분실이나 도난에 대비해 휴대폰 데이터를 보호할 수 있나요.
1,[요금규정][증빙서류] 학생 요금은 어떻게 적용 받나요?
1,롯데닷컴 배송흐름은 어떻게 되나요?
1,발송완료 상태인데 아직 상품을 받지 못했어요!
1,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
1,로그인하지 않고 예약 또는 발권할 수 있나요?
1,상품을 직접 방문하여 수령할 수는 없나요?
1,보험대상자 사망시 수익자가 미지정된경우(법정상속인) 상속순위가 어떻게 되는지요?
1,예약 건에 탑승자 추가 예약 가능한가요?
1,소프트웨어 업데이트 방법을 알고 계신가요
1,취소한 상품이 배송되었습니다. 어떻게 하나요?
1,확정기여형의 실시가 더 적합한 사업장 또는 근로자는?
1,도심공항 서비스가 무엇인가요?
1,필터 청소는 어떻게 하나요
1,휴일에도 상품을 받을수 있나요?
1,판매자가 모두투어가 아닌 상품은 무엇일까요?
1,최소 출발 인원이 안 되는 경우는 어떻게 되나요?
1,근로자의 자율적인 추가각출이 허용된다면 한도는 얼마인가요?
1,[직영상품] 주문완료 후 옵션 변경을 할 수 있나요?
1,대기예약된 경우 결제는 가능한가요? 또한 확정은 언제 되나요?
1,바람이 나오지 않아요.
1,주문한 상품은 언제쯤 받을 수 있나요?
1,V30의 음성 인식 잠금 해제 기능은 무엇인가요.
1,성지순례 일정은 주의해야 할 옷차림이 있나요?
1,예약시 필수 지참사항
1,[유럽] 내게 딱 맞는 배낭여행을 찾고싶다면?
1,전화를 통해 보험 가입을 신청하고 계약이 되는 시점은?
1,(난방) 실외기에 성에가 껴요.
1,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
1,분할/배당 자동송금제도에 대한 안내입니다.
1,[보험] 여행자 보험도 포함되어 있나요?
1,입장권/패스 성인 요금만 보입니다.
1,표시창에 LO가 떠요.
1,퇴직연금제를 실시하기 위해서 규약을 작성해야 한다는 데 규약이란 무엇인가요?
1,퇴직연금에도 퇴직금 중간정산제와 같이 근로자가 목돈을 필요로 할 때 사용할 수 있는 제도가 있나요?
1,(칸/ 위너)필터 청소는 어떻게 하나요.
1,상품을 직접 방문하여 수령할 수는 없나요?
1,[기타] 항공권 유효 기간은 무엇인가요?
1,할인 렌터카 관련 문의 상담은 어떻게 하나요?
1,발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.
1,변액보험에 가입해서 매월 보험료를 내고 있는데  주식시장이 계속 안 좋아지는데 어떻게 해야 할까요?
1,변액보험의 계약자적립금은 어떻게 계산되나요?
1,비회원으로 예약한 항공권 내역을 회원 가입한 아이디로 확인을 할 수 있나요?
1,면세점에서 구입한도와 입국시 면세한도는 얼마인가요?
1,난방시 실외기에서 물이 떨어지나요?
1,배송이 지연되는 사유가 무엇인가요?
1,필터 청소는 어떻게 하나요.
1,투인원(2in1) 에어컨의 분해 청소가 가능한가요.
1,DC제도의 경우 사내충당금이 있어  퇴직소득을 지급해야 하는데 이 때  원천징수는 어떻게 해야 합니까?
1,[수화물/동승자][기타] 어린이 혼자 비행기 탑승이 가능한가요?
1,비가 오면 에어컨에서 물이 새요.
1,스마트/와이파이 모듈을 구입했는데 어디에 꽂나요.
1,앱 업데이트는 어떻게 하나요?
1,삼성생명에서 가입한 주식형 펀드를 삼성증권에서 환매할 수 있습니까?
1,상품을 직접 방문하여 수령할 수는 없나요?
1,연금으로 받을 경우 어떤 이익이 있나요?
1,가이드 경비는 어떻게 지불하나요?
1,[가정용 에어컨] 난방 할 때 실외기가 가동되나요.
1,상품을 직접 방문하여 수령할 수는 없나요?
1,[일본] GREEN 과 ORDINARY 의 차이가 무엇인가요?
1,호텔예약 후에 취소하면 취소료가 부과되나요?
1,롯데닷컴 배송흐름은 어떻게 되나요?
1,[유럽]야간 열차를 탈 경우 패스에서 2일 분을 사용하게 되는 건가요?
1,실손보험에서 폐렴  독감예방주사를 처방 받았습니다. 보장이 되나요?
1,리모컨이 됐다 안됐다 해요.
1,[지중해&유럽] 유럽에서 다양한 국가를 방문하는데 국경 통과마다 입국심사를 하나요?
1,에어컨 공기청정기 냄새 및 먼지 센서 동작이 안되는 것 같아요.
1,호텔 예약시 함께 가는 일행 정보 모두 입력 해야 할까요?
1,납입주기 변경에 대한 안내 입니다.
1,G6 카메라 일반 모드에서 화면 노출을 조절하려면 어떻게 하나요.
1,신탁상품은 중도(해지(해약))가 가능합니까?
1,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
1,LG Hi-Fi Plus는 무엇인가요?
1,취소한 상품이 배송되었습니다. 어떻게 하나요?
1,(크라운)필터 청소는 어떻게 하나요.
1,저축유형인 적립식  임의식  거치식 상품의 차이점은 무엇인가요?
1,본인카드 외에 가족카드 또는 타인카드 결제 가능한가요?
1,오레오 버전에서 앱 바로가기는 무엇인가요.
1,[결제시한연장] 결제 시한 연장관련 문의 답변
1,G6 화면 꺼진 상태에서 얼굴 인식으로 잠금 해제가 안돼요.
1,같은 호텔 같은 룸타입이 2개 이상 검색되는 이유가 궁금합니다
1,[중동] 한국의 전자제품을 가져가 사용할 수 있나요?
1,LG 360 캠은 어떻게 사용하나요?
1,퇴직연금제도를 도입할 때 과거분까지 적립하려면 부담이 너무 크지 않습니까?
1,모바일 닷컴에서 예약했는데 마일리지 또는 상품권 결제가 가능한가요?
1,「나의 계약」를 이용하려면 어떻게 해야 하는지요?
1,티켓은 어떻게 받나요?
1,USIM 카드 비밀번호 설정 방법이 궁금하세요?
1,지급청구시 계좌체크가 너무 오래 걸립니다. 에러 아닙니까?
1,만기시 연장을 하려면 어떻게 해야 됩니까?
1,요금미정으로 보이는 숙소는 접수가 불가능 한가요?
1,휴일에도 상품을 받을수 있나요?
1,제품에서 삐삐삐 5회 소리가 나요
1,「나의 계약」 간편조회 이용 안내
