label,content
0,손자를 보험대상자로 하고 할아버지를 계약자로 하는 교육보험 가입이 가능한가요?
0,종퇴보험으로 퇴직금 운영시 기업의 자체자금으로 선지급하고...
0,퇴직연금의 경우 근로자에 대한 교육이 중요하다는 데 교육은 누가 어떻게 시키나요?
0,사고보험금 청구 기한은 어떻게 됩니까?
0,확정급여형(DB)과 확정기여형(DC) 제도는 무엇이며 이 둘은 어떻게 다름니까?
0,전자서명 시 오류가 발생하면  어떻게 조치하나요?
0,증권계좌로도 자동이체 신청가능합니까?
0,국내에 거주하는 외국인도 보험가입이 가능합니까?
0,Late Trading이란 무엇입니까?
0,연금으로 받을 경우 어떤 이익이 있나요?
0,보험 효력상실 기간 중 종보험대상자(종피보험자)가 사망해도 부활이 가능합니까?
0,퇴직 후에도 근로자가 IRA에 추가로 부담금을 낼 수 있습니까?
0,현행 퇴직금 제도에서 퇴직연금제도로 전환하면 어떤 점들이 좋아지나요?
0,신탁상품은 중도(해지(해약))가 가능합니까?
1,LG SmartWorld란 무엇인가요.
1,휴대폰에 물기나 이물질이 들어갔어요.
1,휴대폰을 물에 빠뜨렸어요. (침수)
0,보안카드를 분실했습니다. 어떻게 해야 합니까?
0,변액보험 펀드변경을 할때 옵션A와 옵션B가 있는데요  차이점이 어떻게 되나요?
1,Tone + 는 기존 헤드셋과 무엇이 다른가요?
1,전원을 꺼도 날개가 완전히 닫히지 않아요.
1,버튼을 눌러도 동작하지 않아요.(공기청정 좌우바람 먼지상태 습도 등)
1,가스냄새가 나요.
0,적립식 펀드의 자동이체 지정일에 잔액이 없는 경우는 어떻게 되나요?
0,고객사랑서비스는 무엇입니까?
3,렌터카 대여 가능나이가 어떻게 되나요?
3,좌석배정 미리 할수 있나요?
3,비자가 필요한 나라일 경우 비자 수속은 개인이 하나요? 아니면 대행해주나요?
0,고지의무란 무엇인가요?
0,장기주택저당차입금 이자상환액 연말소득공제 요건은 무엇인가요?
1,2in1 에어컨 초기 사용시 실외기 소음이 커진 것 같아요.
3,전화로 카드결제를 하고 싶은데 가능한가요?
3,단독행사로 진행도 가능한가요?
3,[여권/마일리지/체류지정보] 예약시 여권 유효 기간은 얼마나 남아있어야 하나요?
0,ELS펀드란 무엇입니까?
0,회사 사정상 임의해지는 가능합니까?
1,F1  F2  F3  F4  F5 표시가 떠요.
3,같은 호텔 같은 룸타입이 2개 이상 검색되는 이유가 궁금합니다
1,오레오 OS 변경 점이 궁금해요.
3,[예약취소 및 환불요청] 항공사에서는 수수료 없이 환불이 가능한데  모두투어는 가능한가요
1,V35  G7의 DTS:X 3D 입체음향 기능은 무엇인가요.
0,퇴직연금제도에서도 중간정산제도가 있습니까? 근로자가 목돈이 필요하면 어떻게합니까?
0,로그인 비밀번호와 거래 비밀번호는 어떻게 다릅니까?
0,자필서명을 안하면 어떻게 되나요?
0,운용방법(펀드)의 변경시 불이익은 없습니까?
3,항공사 마일리지를 사용하여 발권이 가능한가요?
3,학생요금의 적용 기준은 무엇이고 나이 제한이 따로 있나요?
1,갑자기 에어컨에서 불쾌한 냄새가 나요.
0,교보다이렉트는 누구에게 적합한가요?
3,애완동물 데리고 비행기 탑승 가능한가요?
0,평균분할투자란 무엇입니까?
0,비밀번호(생년월일) 입력 후 화면이 정지된 상태로 멈춰있습니다.
1,U+ 해외 로밍 서비스는 무엇인가요?
1,음성 녹음의 추가된 기능
3,하프보드 Vs. 풀보드(Half Board vs. Full Board)
1,휴대폰에 LG 캠 플러스를 어떻게 끼우고 뺄 수 있나요?
1,난방이 됐다 안됐다 해요.
3,항공마일리지는 있는데 현지행사만 같이 할수있나요?
3,[투어마일리지][사용문의] 항공권에 투어마일리지를 사용하고 싶은데요?
1,비가 오면 에어컨에서 물이 새요.
3,안전결제(ISP)/안심클릭 서비스 신청은 어떻게 하나요?
1,360 CAM 휴대폰과 연결하여 사용하기
3,국내 이동전화를 해외에서 쓸 수 있는 방법은?
0,다이렉트도 평생든든 서비스를 해주시나요?
1,메시지 문자크기 조절을 어떻게 하나요.
3,요금미정으로 보이는 숙소는 접수가 불가능 한가요?
2,상품을 교환하고 싶어요! 어떻게 하면 되나요?
2,배송중인 상품의 위치는 어떻게 확인하나요?
0,종퇴보험에서 가입비율 100%로 적립하고 있는데 퇴직보험...
1,모바일카드를 발급 받고 싶습니다.
0,계약체결시 직업란에 위험직종이 아닌 것으로 했을 경우 보장은?
0,확정급여형의 실시가 더 적합한 사업장 또는 근로자는?
1,G6 화면 꺼진 상태에서 얼굴 인식으로 잠금 해제가 안돼요.
2,휴일에도 상품을 받을수 있나요?
0,불완전판매란 무엇입니까?
0,확정기여형에 있어서 운용방법의 변경 시 불이익은 없나요?
1,상하/ 좌우 풍향 조절이 안돼요.
2,휴일에도 상품을 받을수 있나요?
1,배관을 재사용 할 수 있나요.
0,한 기업이 DB/DC/퇴직금제도를 동시에 도입할 수 있습니까?
2,착불배송 상품의 배송비를 주문할 때 지불하고 싶어요!
1,에어컨이 꺼져 있는데 실외기가 돌아가요. 사용하지 않는데 물이 떨어져요.
2,상품을 직접 방문하여 수령할 수는 없나요?
1,휴대폰이 느려지거나 멈추는 경우 어떻게 하나요.
2,롯데닷컴 배송흐름은 어떻게 되나요?
2,판매자가 상품 상태 확인 후 반품/교환 가능 여부를 알려주겠다고 하는데 왜 그런가요?
2,롯데닷컴 배송흐름은 어떻게 되나요?
1,LG페이 교통카드 등록 시 ' LG페이 교통카드를 주 교통카드로 설정하려면 먼저 삼성페이 교통카드를 삭제해 주세요' 라고 나옵니다.
2,취소한 상품이 배송되었습니다. 어떻게 하나요?
1,화면 밝기를 100% 로 해도 화면이 어두워요.
3,여행시 주의해야 할 점은 어떤 것이 있나요 ?
0,MY삼성생명 이용절차 안내 입니다.
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
0,고지의무 위반에 따른 안내  입니다.
3,현지 호텔에서 결제 해도 되나요?
0,DC 부담금은 얼마고 어떻게 계산합니까?
3,항공권 예약 시 서비스오류({0}) 라는 멘트가 뜨면서 예약이 안되요!!
3,[유럽]기차 여행이 왜 좋은가요?
0,보험관련 안내장 우편물 수령지를 변경하고 싶습니다.
0,변액보험 펀드변경은 무엇인가요?
0,자동이체 결제계좌 변경이 되지 않습니다.
1,V35  G7 카메라 촬영(셔터) 속도가 느려요.
0,보험료 자동이체시 합산이체가 뭐예요?
0,보안프로그램 설치시 파일복사 실패인 경우에는?
0,금융거래회원으로 가입 시 공인인증서가 꼭 필요합니까?
3,[기타] 항공권의 표시된 두번째 여정 먼저 사용할 수 있나요?
1,Smart ThinQ 연결이 안돼요. 등록실패가 떠요.
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
2,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
1,LG Hi-Fi Plus는 무엇인가요?
