('운용관리계약과 자산관리계약은 각각 체결해야 합니까?', 'life')
('가입한 보험상품이 적절하지 않아 청약을 철회하려고 합니다.', 'life')
('부부 공동소유 APT의 스마트 모기지론 대출신청 절차는?', 'life')
('공인인증서 로그인이 되지 않습니다.(Windows 7 64bit 브라우저 사용 고객안내)', 'life')
('무배당 보험상품이란?', 'life')
('고객사랑서비스는 무엇입니까?', 'life')
('상피내암에 대한 안내 입니다.', 'life')
('간편비밀번호를 5회 실패했더니 간편비밀번호를 재등록 하라는 메시지가 나옵니다. 어떻게 해야 하나요?', 'life')
('「나의 계약」에서 내가 가입한 보험이 보이지 않습니다.', 'life')
('미성년자녀의 보험금청구는 어떻게 되나요?(친권자)', 'life')
('DC/IRA 가입자 입니다. 보안카드 비밀번호 5회 오류로 사용이 중지되었습니다. 보안카드 재발급은 어떻게 합니까?', 'life')
('지로영수증을 분실했을 경우 보험료 입금을 어떻게 해야 합니까?', 'life')
('항공사 마일리지를 사용하여 발권이 가능한가요?', 'tour')
('금융거래회원과 웹회원의 차이점은 무엇인가요?', 'life')
('전화로 보험가입신청을 한 후 보험증권(보험가입증서)과 약관은 언제쯤 받을 수 있습니까?', 'life')
('정해진 날짜에 이용을 다 해야 하나요?', 'tour')
('임차계약서 확인방법', 'tour')
('카드 무이자 할부 가능한가요?', 'tour')
('공항 면세점 이용시간은?', 'tour')
('현금 영수증은 어떻게 발행하나요?', 'tour')
('호텔 요금 방금 봤는데 다시 검색하니까 요금이 확인되지를 않습니다?', 'tour')
('대출이자가 자동이체 통장에서 인출되는 순서는 어떻게 되나요?', 'life')
('단수여권 소지 고객님은 중국 심천 입국시 주의해주세요!', 'tour')
('계약자 이름을 개명을 했는데  어떻게 신청해야 해요?', 'life')
('운용방법(펀드)의 변경시 소요 기간은 얼마나 걸립니까?', 'life')
('이민을 가려는데 보험료를 계속 납부해야 하는지요?', 'life')
('[수화물/동승자][기타] 2살 미만의 유아가 기내의 아기 바구니 사용가능한가요?', 'tour')
('[유럽] 야간열차 어떻게 이용해야 하나요?', 'tour')
('카드 할인 요금은 어떻게 적용받나요?', 'tour')
('공항미팅시간에 맞춰갈 수 없을 것 같은데 어떤 조치를 취해야 하나요?', 'tour')
('납입주기 변경에 대한 안내 입니다.', 'life')
('증권계좌로도 자동이체 신청가능합니까?', 'life')
('왕복항공권 구매하고 돌아오는것만 사용할수 있나요?', 'tour')
('확정급여형(DB)제도와 확정기여형(DC)제도 중 어느 제도가 더 유리한가요?', 'life')
('첨부파일 저장을 클릭했으나 아무 반응이 없습니다.', 'life')
('[유럽] 예산은 어느정도 예상하면 될까요?', 'tour')
('웹상으론 좌석이 보이는데 예약완료후 대기예약으로 뜨네요?', 'tour')
('예약 전 TAX와 예약 후 또는 발권시 TAX가 달라요. 어떻게 된거죠?', 'tour')
('계약자를 바꾸고 싶습니다. 계약자 변경 절차를 알려 주십시오.', 'life')
('종업원이 퇴직시 퇴직금에 대한 과세는 어떻게 됩니까?', 'life')
('패스의 마감 시간은 몇시인가요?', 'tour')
('연금은 몇 년간 받을 수 있나요?', 'life')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('유럽 현지에서 유레일 패스를 구매할 수 있나요?', 'tour')
('세 명이 여행할 경우 함께 방을 쓸 수 있나요? 아니면 방을 두개 써야 하나요?', 'tour')
('교보다이렉트는 누구에게 적합한가요?', 'life')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('투숙자 이름 변경이 가능할까요?', 'tour')
('[요금규정][증빙서류] 증빙서류관련 문의 답변', 'tour')
('리모컨이 됐다 안됐다 해요.', 'svc')
('리모컨이 안돼요.', 'svc')
('실외기 소음이 평소보다 커졌어요. 실외기 소리가 너무 커요.', 'svc')
('레이트 체크아웃 사전 신청 가능한가요?', 'tour')
('휴일에도 상품을 받을수 있나요?', 'shp')
('회원가입의 조건이 있나요?', 'shp')
('[유럽] 배낭여행 완전정복하기!', 'tour')
('LG 페이 서비스 해지는 어떻게 하나요.', 'svc')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('리모컨이 안돼요.', 'svc')
('교보바로받는신용대출은 어떻게 이용할 수 있나요?', 'life')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('안심번호 서비스', 'shp')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('결제 완료 후 결제 수단 변경 가능한가요?', 'tour')
('냉기가 안나올때 냄새가 심해져요. 송풍으로 사용 시 냄새가 나요.', 'svc')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('바람세기 조절이 안돼요. 풍량 조절이 안돼요.', 'svc')
('가스냄새가 나요.', 'svc')
('음성을 녹음한 장소나 일정 정보를 메모하고 싶어요.', 'svc')
('주중에 신혼여행을 가려는데요..?', 'tour')
('에어컨 부품을 택배로 받아볼 수 있나요.', 'svc')
('실외기 소음이 평소보다 커졌어요. 실외기 소리가 너무 커요.', 'svc')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('신용카드 결제 시 공인인증서가 꼭 필요한가요?', 'shp')
('휴일에도 상품을 받을수 있나요?', 'shp')
('목표수익률 SMS 알림서비스는 무엇인가요?', 'life')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('에어컨 가동 중 떨리는 소음이 나요.', 'svc')
('원래 일정보다 빨리 돌아오게 됐는데 남은 기간의 객실요금 환불되나요?', 'tour')
('착불배송 상품의 배송비를 주문할 때 지불하고 싶어요!', 'shp')
('[기타] 인/아웃 도시가 다른 경우의 예약은 어떻게 하나요?', 'tour')
('계약 전 알릴의무사항 위반 후 2년이 경과 되었는데 보험계약은 유효한가요?', 'life')
('보험계약대출 이자의 납입 및 방법에 대한 안내 입니다.', 'life')
('사고보험금 지급이 지연될 경우 어떻게 해야 하나요?', 'life')
('필터의 교체시기/구입방법이 궁금해요.', 'svc')
('퇴직연금제도 시행하면 이전에 근무한 기간은 어떻게 됩니까?', 'life')
('호텔예약 후에 취소하면 취소료가 부과되나요?', 'tour')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('일반(담보 및 신용)대출내역 및 원리금상환조회', 'life')
('LG 페이 ATM을 이용하고 싶어요.', 'svc')
('여행시 여권유효기간은 얼마나 남아있어야 하나요', 'tour')
('여행동반자의 하나투어마일리지를 한 사람에게 모을 수 있나요?', 'tour')
('배당금은 어떻게 확인하나요?', 'life')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('퇴직급여를 연금으로 받고 싶은데 연금수급요건을 충족하지 못한다고 합니다.', 'life')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('야간열차의 경우 어떤 객실이 제공되나요?', 'tour')
('에어컨에서 냄새가 나는데 어떻게 청소하나요.', 'svc')
('모든 전화 수신이 안되나요.', 'svc')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('사용 설명서 다운로드 방법은 어떻게 되나요.', 'svc')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('카메라 전문가 모드의 셔터 속도(Shutter Speed)는 어떻게 동작 하나요?', 'svc')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
