label,content
0,할 수 있다면 하겠습니다
1,사망시수익자 미지정계약의 사망보험금을 수령하고자 할때 필요한 서류는 무엇인지요?
4,항공권 카드결제 후 환불절차는 어떻게 되나요?
1,확정기여형의 실시가 더 적합한 사업장 또는 근로자는?
0,우리는 --하다는 것을 의심하지 않습니다
0,네  3층에 바다가 보이는 방을 드리겠습니다
4,결제수단/결제카드/할부 변경이 가능한가요?
2,에어컨을 만지면 전기가 흘러요.
3,상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?
0,이것은 10개월 예금이므로 열 달 동안은 돈을 인출할 수 없습니다
0,내가 내겠습니다
0,배가 고프군요
3,상품을 직접 방문하여 수령할 수는 없나요?
4,아시아나항공 혼자 여행하는 어린이 서비스는 어떻게 신청하나요?
0,전부해서 얼마입니까
0,예를 들면
2,(난방) 토출구에서 흰 연기가 나와요. 수증기가 보여요.
3,주문한 상품은 언제쯤 받을 수 있나요?
2,필터의 교체시기/구입방법이 궁금해요.
0,아니요  당신의 의견에 동의하지 않습니다
3,상품을 직접 방문하여 수령할 수는 없나요?
0,어떻게 보답할 수 있을까요
0,몇 시쯤 돌아올까요
0,우리는 일행이 5명입니다. 테이블이 있습니까
0,다른 어떤 색깔의 것이 있습니까
0,야채 수프와 그린 샐러드  설로인 스테이크를 먹겠습니다
3,롯데닷컴 배송흐름은 어떻게 되나요?
0,그건 무리예요
0,성함을 알려 주시겠습니까
4,홈페이지내 렌터카 예약절차
0,또 다른 기회에
4,예약건 취소하고 싶은데 어떻게 취소하나요?
0,그와 약속을 하셨습니까
0,수출부를 방문하고 싶습니다
2,음성을 녹음한 장소나 일정 정보를 메모하고 싶어요.
0,정장을 입고 오십시오
0,약속이 있습니다
0,거 뭐라고 말할까
0,여권을 보여 주십시오
0,현찰카드로 지불하다
0,줄 수 있습니까
0,7시에 모닝콜을 받을 수 있을까요
0,누군가 다른 사람에게 돌려드릴까요
2,갑자기 에어컨에서 불쾌한 냄새가 나요.
0,9월 10일까지 도착되지 않는다면  주문을 취소하겠습니다
4,탑승자가 변경되어 이름을 변경하고 싶은데 어떻게 해야하나요?
0,미스터 브라운인가요
2,G7 상태 표시줄에 배터리 퍼센트 표시가 보이지 않아요.
3,배송이 지연되는 사유가 무엇인가요?
4,항공권 결제는 어떻게 하나요?
2,LG 페이를 사용하려면 네트워크 연결이 필요한가요.
0,기차역으로 가는 방법을 가르쳐 주시겠습니까
0,한국인은 외국보다 쌀을 5배 정도 비싸게 구입합니다
0,켄트 두 상자를 사고 싶습니다
3,주문한 상품은 언제쯤 받을 수 있나요?
2,OTG 인식이 안됩니다.
0,한국에 국제 전화를 번호 통화로 걸고 싶은데요
0,농악에 대해 들어보셨습니까
3,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
0,병이 났습니다
0,전하실 말씀을 적어 놓을까요
0,음악을 좋아합니까
0,그대로 기다려 주시겠어요
0,저희 회사는 --에 창립되었습니다
4,스탑오버 또는 중간경유지 체류 가능한가요?
0,언제가 편리하십니까
3,주문한 상품은 언제쯤 받을 수 있나요?
0,...에 --년의 경력이 있다
4,[수화물/동승자][기타] 임산부일 경우 비행기 탑승에 제한이 있나요?
3,발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?
3,비밀번호를 잊어버렸는데 임시 비밀번호를 부여 받은 메일 주소도 기억 나지 않아요.
0,매일 연극이 공연되나요
3,배송이 지연되는 사유가 무엇인가요?
0,가야 할까 봅니다
0,직장 동료와 사귀는 것은 우리에게 있어 아주 중요합니다
0,저것들을 한국으로 우송해 주시겠습니까
1,보증인을 세우고 신용대출을 받았는데  이 경우 만기연장은 어떻게 신청하나요?
0,누구십니까
0,제가 할 수 있는 일이라면 하겠습니다
0,도로 지도가 있습니까
0,그는 지금 광주 지점에 근무하고 있습니다
2,해외 휴대폰으로 국내 이동통신사 개통이 가능한가요?
0,즐거운 여행이 되시길
0,계산서를 갖다 주시겠어요
1,지급예정일 지정이 가능합니까?
2,휴대폰 화면을 케이블 없이 TV에서 볼 수 있나요.
0,저희들의 주요한 관심사는 당신이 저희 회사에서 비디오와 함께 카메라를 구입하는 데에 관심을 갖고 계신가 하는 것입니다
3,상품을 반품할 경우 반품택배비는 누가 부담하나요?
2,충전기 연결 시 '수분이 감지되어 충전 불가' 멘트가 떠요.
0,그의 제안을  현지의 회사와 합작으로 새 공장을 운영하는 것으로 대치하는 것이 어떨까요
0,다음 안건으로 넘어갑시다
0,단가를 20달러로 인하시켜 주시기를 바랍니다
0,그 의견은 시도해 볼 만한 가치가 있다고 봅니다
1,기업담당자 입니다. 보안카드를 분실 / 보안카드 비밀번호 5회 오류 발생했습니다.
3,주문한 상품은 언제쯤 받을 수 있나요?
